Vd Vg Vs Vb Lg t_FE  Ids Qg V_FE V_FE_delta  
0.05 0.0909090909091 0 0 1e-07 1.5e-07 6.67454959695e-11 1.31691625242e-22 0 0
0.5 0.0909090909091 0 0 1e-07 1.5e-07 8.08082527494e-11 1.14864476799e-22 0 0
0.05 0.0959595959596 0 0 1e-07 1.5e-07 8.0193376169e-11 1.58222254416e-22 0 0
0.5 0.0959595959596 0 0 1e-07 1.5e-07 9.7073897322e-11 1.37983056995e-22 0 0
0.05 0.10101010101 0 0 1e-07 1.5e-07 9.63509469235e-11 1.90097541611e-22 0 0
0.5 0.10101010101 0 0 1e-07 1.5e-07 1.16613827148e-10 1.65754476486e-22 0 0
0.05 0.106060606061 0 0 1e-07 1.5e-07 1.1576429346e-10 2.28394088135e-22 0 0
0.5 0.106060606061 0 0 1e-07 1.5e-07 1.40087257194e-10 1.99115076665e-22 0 0
0.05 0.111111111111 0 0 1e-07 1.5e-07 1.39089595546e-10 2.74405319419e-22 0 0
0.5 0.111111111111 0 0 1e-07 1.5e-07 1.68286166754e-10 2.391895903e-22 0 0
0.05 0.116161616162 0 0 1e-07 1.5e-07 1.67115341861e-10 3.29685134657e-22 0 0
0.5 0.116161616162 0 0 1e-07 1.5e-07 2.02162057318e-10 2.87329028625e-22 0 0
0.05 0.121212121212 0 0 1e-07 1.5e-07 2.00789034832e-10 3.96100335594e-22 0 0
0.5 0.121212121212 0 0 1e-07 1.5e-07 2.42858111925e-10 3.45156180261e-22 0 0
0.05 0.126262626263 0 0 1e-07 1.5e-07 2.41249297215e-10 4.75893596655e-22 0 0
0.5 0.126262626263 0 0 1e-07 1.5e-07 2.91747850212e-10 4.14620247962e-22 0 0
0.05 0.131313131313 0 0 1e-07 1.5e-07 2.89864478627e-10 5.71759091124e-22 0 0
0.5 0.131313131313 0 0 1e-07 1.5e-07 3.5048159671e-10 4.9806245366e-22 0 0
0.05 0.136363636364 0 0 1e-07 1.5e-07 3.48279084982e-10 6.86933309209e-22 0 0
0.5 0.136363636364 0 0 1e-07 1.5e-07 4.21042349193e-10 5.98294806302e-22 0 0
0.05 0.141414141414 0 0 1e-07 1.5e-07 4.18469627029e-10 8.25304109378e-22 0 0
0.5 0.141414141414 0 0 1e-07 1.5e-07 5.05812960633e-10 7.18694664415e-22 0 0
