Vd Vg Vs Vb Id Lg Ig  
-0.5 0.01 0.0 0.0 -1.2196E-010 70e-9 -1.39E-012 
-0.5 -0.004 0.0 0.0 -2.0167E-010 70e-9 -6.4E-013 
-0.5 -0.018 0.0 0.0 -3.2925E-010 70e-9 2.79E-012 
-0.5 -0.032 0.0 0.0 -5.3725E-010 70e-9 4.44E-012 
-0.5 -0.046 0.0 0.0 -8.6655E-010 70e-9 4.97E-012 
-0.5 -0.06 0.0 0.0 -1.3799E-009 70e-9 -5.16E-012 
-0.5 -0.074 0.0 0.0 -2.1607E-009 70e-9 -4.55E-012 
-0.5 -0.088 0.0 0.0 -3.4204E-009 70e-9 -6.14E-012 
-0.5 -0.102 0.0 0.0 -5.4267E-009 70e-9 -5.55E-012 
-0.5 -0.116 0.0 0.0 -8.5456E-009 70e-9 -6.92E-012 
-0.5 -0.13 0.0 0.0 -1.37602E-008 70e-9 7.1E-012 
-0.5 -0.144 0.0 0.0 -2.17186E-008 70e-9 -3.6E-013 
-0.5 -0.158 0.0 0.0 -3.26908E-008 70e-9 -9.93E-012 
-0.5 -0.172 0.0 0.0 -4.97504E-008 70e-9 -5.38E-012 
-0.5 -0.186 0.0 0.0 -7.8556E-008 70e-9 7.2E-012 
-0.5 -0.2 0.0 0.0 -1.2458E-007 70e-9 3.5E-013 
-0.5 -0.214 0.0 0.0 -1.904E-007 70e-9 -4.1E-012 
-0.5 -0.228 0.0 0.0 -0.000000296 70e-9 -8.54E-012 
-0.5 -0.242 0.0 0.0 -4.584E-007 70e-9 -9.11E-012 
-0.5 -0.256 0.0 0.0 -7.0914E-007 70e-9 -9.33E-012 
-0.5 -0.27 0.0 0.0 -0.000001111 70e-9 1.5E-012 
-0.5 -0.284 0.0 0.0 -1.6673E-006 70e-9 -3.01E-012 
-0.5 -0.298 0.0 0.0 -2.5161E-006 70e-9 -6.19E-012 
-0.5 -0.312 0.0 0.0 -3.7594E-006 70e-9 -8.11E-012 
-0.5 -0.326 0.0 0.0 -5.5699E-006 70e-9 -1.045E-011 
-0.5 -0.34 0.0 0.0 -0.000008238 70e-9 -1.162E-011 
-0.5 -0.354 0.0 0.0 -0.000012034 70e-9 -9.49E-012 
-0.5 -0.368 0.0 0.0 -0.000017864 70e-9 -4.76E-012 
-0.5 -0.382 0.0 0.0 -0.000026092 70e-9 2.46E-012 
-0.5 -0.396 0.0 0.0 -0.000036698 70e-9 5.88E-012 
-0.5 -0.41 0.0 0.0 -0.000050502 70e-9 7.4E-012 
-0.5 -0.424 0.0 0.0 -0.000067726 70e-9 7.42E-012 
-0.5 -0.438 0.0 0.0 -0.000087712 70e-9 4.73E-012 
-0.5 -0.452 0.0 0.0 -0.00011248 70e-9 -1.273E-011 
-0.5 -0.466 0.0 0.0 -0.00014528 70e-9 -1.255E-011 
-0.5 -0.48 0.0 0.0 -0.00018556 70e-9 -1.034E-011 
-0.5 -0.494 0.0 0.0 -0.00023566 70e-9 -6.98E-012 
-0.5 -0.508 0.0 0.0 -0.00029292 70e-9 -2.67E-012 
-0.5 -0.522 0.0 0.0 -0.00035884 70e-9 1.09E-012 
-0.5 -0.536 0.0 0.0 -0.00043042 70e-9 3.41E-012 
-0.5 -0.55 0.0 0.0 -0.00050788 70e-9 4.84E-012 
-0.5 -0.564 0.0 0.0 -0.00059218 70e-9 3.87E-012 
-0.5 -0.578 0.0 0.0 -0.00067794 70e-9 3.26E-012 
-0.5 -0.592 0.0 0.0 -0.00076734 70e-9 -1.76E-012 
-0.5 -0.606 0.0 0.0 -0.0008669 70e-9 -7.74E-012 
-0.5 -0.62 0.0 0.0 -0.0009725 70e-9 -1.256E-011 
-0.5 -0.634 0.0 0.0 -0.00108458 70e-9 -1.641E-011 
-0.5 -0.648 0.0 0.0 -0.0012134 70e-9 -4.38E-012 
-0.5 -0.662 0.0 0.0 -0.0013292 70e-9 -9.73E-012 
-0.5 -0.676 0.0 0.0 -0.0014558 70e-9 -1.437E-011 
-0.5 -0.69 0.0 0.0 -0.0015844 70e-9 -1.7E-011 
-0.5 -0.704 0.0 0.0 -0.0017236 70e-9 -1.391E-011 
-0.5 -0.718 0.0 0.0 -0.001869 70e-9 -7.85E-012 
-0.5 -0.732 0.0 0.0 -0.0020112 70e-9 -2.66E-012 
-0.5 -0.746 0.0 0.0 -0.0021436 70e-9 -9.3E-013 
-0.5 -0.76 0.0 0.0 -0.0022728 70e-9 -1.04E-012 
-0.5 -0.774 0.0 0.0 -0.00239 70e-9 -4.04E-012 
-0.5 -0.788 0.0 0.0 -0.0025088 70e-9 -9.35E-012 
-0.5 -0.802 0.0 0.0 -0.0026218 70e-9 -1.587E-011 
-0.5 -0.816 0.0 0.0 -0.0027404 70e-9 -2.112E-011 
-0.5 -0.83 0.0 0.0 -0.0028548 70e-9 -2.49E-011 
-0.5 -0.844 0.0 0.0 -0.0029638 70e-9 -2.467E-011 
-0.5 -0.858 0.0 0.0 -0.003071 70e-9 -2.205E-011 
-0.5 -0.872 0.0 0.0 -0.0031698 70e-9 -2.001E-011 
-0.5 -0.886 0.0 0.0 -0.0032684 70e-9 -1.677E-011 
-0.5 -0.9 0.0 0.0 -0.0033566 70e-9 -1.526E-011 
-0.5 -0.9 0.0 0.0 -0.0033372 70e-9 -3.037E-011 
-0.5 -0.886 0.0 0.0 -0.0032502 70e-9 -2.845E-011 
-0.5 -0.872 0.0 0.0 -0.003165 70e-9 -2.468E-011 
-0.5 -0.858 0.0 0.0 -0.003074 70e-9 -1.815E-011 
-0.5 -0.844 0.0 0.0 -0.0029786 70e-9 -1.202E-011 
-0.5 -0.83 0.0 0.0 -0.002874 70e-9 -7.45E-012 
-0.5 -0.816 0.0 0.0 -0.0027636 70e-9 -4.57E-012 
-0.5 -0.802 0.0 0.0 -0.002642 70e-9 -2.61E-012 
-0.5 -0.788 0.0 0.0 -0.0025118 70e-9 -2.59E-012 
-0.5 -0.774 0.0 0.0 -0.0023762 70e-9 -5.01E-012 
-0.5 -0.76 0.0 0.0 -0.0022412 70e-9 -9.52E-012 
-0.5 -0.746 0.0 0.0 -0.0021038 70e-9 -1.534E-011 
-0.5 -0.732 0.0 0.0 -0.0019726 70e-9 -1.603E-011 
-0.5 -0.718 0.0 0.0 -0.0018486 70e-9 -1.3E-011 
-0.5 -0.704 0.0 0.0 -0.0017204 70e-9 -1.114E-011 
-0.5 -0.69 0.0 0.0 -0.0015922 70e-9 -6.22E-012 
-0.5 -0.676 0.0 0.0 -0.0014708 70e-9 -1.26E-012 
-0.5 -0.662 0.0 0.0 -0.001345 70e-9 1.68E-012 
-0.5 -0.648 0.0 0.0 -0.001223 70e-9 3.58E-012 
-0.5 -0.634 0.0 0.0 -0.0010998 70e-9 4.4E-012 
-0.5 -0.62 0.0 0.0 -0.00098252 70e-9 -1.65E-012 
-0.5 -0.606 0.0 0.0 -0.00087728 70e-9 -1.13E-012 
-0.5 -0.592 0.0 0.0 -0.00077382 70e-9 2.43E-012 
-0.5 -0.578 0.0 0.0 -0.00067858 70e-9 5.18E-012 
-0.5 -0.564 0.0 0.0 -0.00058344 70e-9 5.62E-012 
-0.5 -0.55 0.0 0.0 -0.00049318 70e-9 3.93E-012 
-0.5 -0.536 0.0 0.0 -0.0004117 70e-9 1.5E-013 
-0.5 -0.522 0.0 0.0 -0.00034104 70e-9 -6.02E-012 
-0.5 -0.508 0.0 0.0 -0.00027882 70e-9 -9.47E-012 
-0.5 -0.494 0.0 0.0 -0.00022582 70e-9 -1.227E-011 
-0.5 -0.48 0.0 0.0 -0.00018036 70e-9 -1.188E-011 
-0.5 -0.466 0.0 0.0 -0.00014332 70e-9 -9.56E-012 
-0.5 -0.452 0.0 0.0 -0.0001125 70e-9 -5.69E-012 
-0.5 -0.438 0.0 0.0 -0.000083468 70e-9 -9.99E-012 
-0.5 -0.424 0.0 0.0 -0.000061922 70e-9 -1.195E-011 
-0.5 -0.41 0.0 0.0 -0.00004568 70e-9 -1.114E-011 
-0.5 -0.396 0.0 0.0 -0.000033978 70e-9 -7.79E-012 
-0.5 -0.382 0.0 0.0 -0.00002459 70e-9 -3.29E-012 
-0.5 -0.368 0.0 0.0 -0.00001776 70e-9 1.51E-012 
-0.5 -0.354 0.0 0.0 -0.00001253 70e-9 4.83E-012 
-0.5 -0.34 0.0 0.0 -7.9574E-006 70e-9 -9.62E-012 
