Vd Vgf Vs Vgb L IDS qtotd qtots vbgs  
0.95 0.878787878788 1 1 1e-06 3.576e-14 1.443e-11 7.708e-11 -2.293e-10 
0.0 0.89898989899 1 1 1e-06 2.054e-14 6.142e-12 4.052e-11 -1.152e-09 
0.95 0.89898989899 1 1 1e-06 1.914e-14 7.620e-12 4.068e-11 -1.710e-10 
0.0 0.919191919192 1 1 1e-06 1.100e-14 3.247e-12 2.140e-11 -9.399e-10 
0.95 0.919191919192 1 1 1e-06 1.025e-14 4.026e-12 2.148e-11 -1.130e-10 
0.0 0.939393939394 1 1 1e-06 5.897e-15 1.717e-12 1.131e-11 -7.377e-10 
0.95 0.939393939394 1 1 1e-06 5.494e-15 2.128e-12 1.135e-11 -5.358e-11 
0.0 0.959595959596 1 1 1e-06 3.164e-15 9.090e-13 5.980e-12 -5.409e-10 
0.95 0.959595959596 1 1 1e-06 2.948e-15 1.126e-12 6.003e-12 8.322e-12 
0.0 0.979797979798 1 1 1e-06 1.699e-15 4.815e-13 3.164e-12 -3.469e-10 
0.95 0.979797979798 1 1 1e-06 1.583e-15 5.960e-13 3.176e-12 7.351e-11 
0.0 1.0 1 1 1e-06 9.132e-16 2.552e-13 1.676e-12 -1.545e-10 
0.95 1.0 1 1 1e-06 8.509e-16 3.158e-13 1.682e-12 1.427e-10 
