vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qms vfes ids sweepvar qm qmd
0.5 0.217171717172 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.502e-08 -3.803e-04 -2.096e-03 -4.750e-04 4.142e-09 0.50000 1.062e-03 -3.621e-07
0.05 0.222222222222 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.444e-08 -4.099e-04 -1.948e-03 -4.829e-04 3.169e-09 5.0000e-02 1.155e-03 -3.340e-04
0.5 0.222222222222 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.391e-08 -3.803e-04 -2.508e-03 -4.934e-04 4.960e-09 0.50000 1.268e-03 -4.339e-07
0.05 0.227272727273 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.127e-08 -4.159e-04 -2.333e-03 -5.029e-04 3.797e-09 5.0000e-02 1.381e-03 -4.008e-04
0.5 0.227272727273 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.454e-08 -3.803e-04 -2.999e-03 -5.153e-04 5.938e-09 0.50000 1.515e-03 -5.199e-07
0.05 0.232323232323 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.943e-08 -4.230e-04 -2.794e-03 -5.270e-04 4.547e-09 5.0000e-02 1.652e-03 -4.811e-04
0.5 0.232323232323 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.724e-08 -3.803e-04 -3.586e-03 -5.415e-04 7.106e-09 0.50000 1.809e-03 -6.229e-07
0.05 0.237373737374 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.918e-08 -4.316e-04 -3.343e-03 -5.557e-04 5.445e-09 5.0000e-02 1.975e-03 -5.774e-04
0.5 0.237373737374 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 9.240e-08 -3.803e-04 -4.285e-03 -5.728e-04 8.501e-09 0.50000 2.159e-03 -7.462e-07
0.05 0.242424242424 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 7.084e-08 -4.418e-04 -3.999e-03 -5.900e-04 6.517e-09 5.0000e-02 2.361e-03 -6.931e-04
0.5 0.242424242424 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.105e-07 -3.803e-04 -5.118e-03 -6.101e-04 1.017e-08 0.50000 2.577e-03 -8.937e-07
0.05 0.247474747475 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 8.476e-08 -4.542e-04 -4.782e-03 -6.310e-04 7.798e-09 5.0000e-02 2.823e-03 -8.321e-04
0.5 0.247474747475 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.321e-07 -3.804e-04 -6.109e-03 -6.544e-04 1.215e-08 0.50000 3.074e-03 -1.070e-06
0.05 0.252525252525 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.014e-07 -4.690e-04 -5.714e-03 -6.800e-04 9.325e-09 5.0000e-02 3.374e-03 -9.989e-04
0.5 0.252525252525 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.578e-07 -3.804e-04 -7.287e-03 -7.072e-04 1.452e-08 0.50000 3.666e-03 -1.281e-06
0.05 0.257575757576 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.211e-07 -4.868e-04 -6.825e-03 -7.384e-04 1.115e-08 5.0000e-02 4.031e-03 -1.199e-03
0.5 0.257575757576 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.885e-07 -3.804e-04 -8.685e-03 -7.699e-04 1.734e-08 0.50000 4.369e-03 -1.533e-06
0.05 0.262626262626 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.447e-07 -5.082e-04 -8.145e-03 -8.079e-04 1.331e-08 5.0000e-02 4.814e-03 -1.440e-03
0.5 0.262626262626 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.249e-07 -3.804e-04 -1.034e-02 -8.443e-04 2.069e-08 0.50000 5.204e-03 -1.834e-06
0.05 0.267676767677 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.727e-07 -5.339e-04 -9.714e-03 -8.907e-04 1.589e-08 5.0000e-02 5.746e-03 -1.730e-03
