vd vg vs vb l alpha1_p alpha11_p t_fe idsperum vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
-0.7 -0.261616161616 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.190e-07 -3.804e-04 -3.4818 19.8576 -6.0307 -8.360e-03 -1.120e-03 -2.015e-08 -2.044e-06 8.4131 -8.555e-03 -1.052e-20 -0.70000 -1.111e-04 -2.043e-06 0.2616
-0.05 -0.268686868687 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.105e-07 -5.153e-04 -3.5030 13.1453 -6.0673 -7.263e-03 -1.019e-03 -1.017e-08 -1.545e-03 1.6396 -7.414e-03 -1.099e-20 -5.0000e-02 -1.611e-03 -1.537e-03 0.2687
-0.7 -0.268686868687 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.733e-07 -3.805e-04 -3.4818 19.8650 -6.0307 -1.041e-02 -1.301e-03 -2.514e-08 -2.538e-06 8.4204 -1.069e-02 -1.310e-20 -0.70000 -1.383e-04 -2.538e-06 0.2687
-0.05 -0.275757575758 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.383e-07 -5.496e-04 -3.5030 13.1452 -6.0673 -9.074e-03 -1.178e-03 -1.273e-08 -1.939e-03 1.6395 -9.299e-03 -1.374e-20 -5.0000e-02 -2.020e-03 -1.926e-03 0.2758
-0.7 -0.275757575758 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 3.410e-07 -3.805e-04 -3.4818 19.8744 -6.0307 -1.295e-02 -1.526e-03 -3.137e-08 -3.149e-06 8.4298 -1.338e-02 -1.632e-20 -0.70000 -1.721e-04 -3.148e-06 0.2757
-0.05 -0.282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 1.725e-07 -5.917e-04 -3.5030 13.1454 -6.0673 -1.129e-02 -1.373e-03 -1.587e-08 -2.424e-03 1.6397 -1.162e-02 -1.710e-20 -5.0000e-02 -2.521e-03 -2.405e-03 0.2828
-0.7 -0.282828282828 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 4.252e-07 -3.806e-04 -3.4818 19.8859 -6.0307 -1.611e-02 -1.805e-03 -3.912e-08 -3.896e-06 8.4414 -1.672e-02 -2.030e-20 -0.70000 -2.140e-04 -3.896e-06 0.2828
-0.05 -0.289898989899 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.153e-07 -6.447e-04 -3.5030 13.1453 -6.0673 -1.406e-02 -1.616e-03 -1.981e-08 -3.037e-03 1.6396 -1.454e-02 -2.131e-20 -5.0000e-02 -3.152e-03 -3.008e-03 0.2899
-0.7 -0.289898989899 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 5.303e-07 -3.807e-04 -3.4818 19.9002 -6.0307 -2.002e-02 -2.151e-03 -4.879e-08 -4.811e-06 8.4557 -2.091e-02 -2.527e-20 -0.70000 -2.660e-04 -4.811e-06 0.2899
-0.05 -0.29696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 2.687e-07 -7.106e-04 -3.5030 13.1458 -6.0673 -1.749e-02 -1.918e-03 -2.472e-08 -3.802e-03 1.6401 -1.820e-02 -2.655e-20 -5.0000e-02 -3.937e-03 -3.758e-03 0.2970
-0.7 -0.29696969697 0 0 2e-08 -3249270000.0 2.41166e+13 1e-08 6.597e-07 -3.808e-04 -3.4818 19.9176 -6.0307 -2.482e-02 -2.576e-03 -6.069e-08 -5.911e-06 8.4731 -2.608e-02 -3.137e-20 -0.70000 -3.297e-04 -5.911e-06 0.2970
