vd vg vs vb l alpha1_p alpha11_p t_fe phig vfed qmfe2 vgn1 qmfe1 qms vfes ids qmsguessd vgn2 qmsguesss qgi sweepvar qm qmd vgs
0.4 0.254545454545 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -4.185e-03 -6.6660 19.1680 -11.5458 5.8779 -0.2013 2.161e-05 7.386e-02 6.5829 4.6627 4.864e-18 0.40000 -7.482e-02 7.482e-02 0.2545
0.4 0.258585858586 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -4.483e-03 -6.6660 19.2157 -11.5458 6.0071 -0.2025 2.225e-05 8.015e-02 6.6307 4.8497 4.985e-18 0.40000 -8.127e-02 8.127e-02 0.2586
0.4 0.262626262626 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -4.816e-03 -6.6660 19.2611 -11.5458 6.1307 -0.2035 2.287e-05 8.717e-02 6.6761 5.0299 5.100e-18 0.40000 -8.849e-02 8.849e-02 0.2626
0.4 0.266666666667 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -5.189e-03 -6.6660 19.3043 -11.5458 6.2493 -0.2042 2.346e-05 9.500e-02 6.7193 5.2029 5.211e-18 0.40000 -9.656e-02 9.656e-02 0.2667
0.4 0.270707070707 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -5.605e-03 -6.6660 19.3456 -11.5458 6.3634 -0.2047 2.403e-05 0.1037 6.7605 5.3684 5.318e-18 0.40000 -0.1056 0.1056 0.2707
0.4 0.274747474747 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -6.068e-03 -6.6660 19.3851 -11.5458 6.4732 -0.2051 2.458e-05 0.1134 6.8000 5.5265 5.422e-18 0.40000 -0.1156 0.1156 0.2747
0.4 0.278787878788 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -6.585e-03 -6.6660 19.4230 -11.5458 6.5792 -0.2053 2.512e-05 0.1242 6.8379 5.6771 5.522e-18 0.40000 -0.1268 0.1268 0.2788
0.4 0.282828282828 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.161e-03 -6.6660 19.4594 -11.5458 6.6818 -0.2053 2.564e-05 0.1361 6.8743 5.8202 5.619e-18 0.40000 -0.1393 0.1393 0.2828
0.4 0.286868686869 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -7.803e-03 -6.6660 19.4945 -11.5458 6.7811 -0.2052 2.614e-05 0.1494 6.9094 5.9562 5.713e-18 0.40000 -0.1532 0.1532 0.2869
0.4 0.290909090909 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -8.518e-03 -6.6660 19.5283 -11.5458 6.8773 -0.2049 2.663e-05 0.1641 6.9433 6.0853 5.804e-18 0.40000 -0.1687 0.1687 0.2909
0.4 0.294949494949 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -9.315e-03 -6.6660 19.5610 -11.5458 6.9708 -0.2046 2.711e-05 0.1804 6.9760 6.2078 5.893e-18 0.40000 -0.1859 0.1859 0.2949
0.4 0.29898989899 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.020e-02 -6.6660 19.5927 -11.5458 7.0617 -0.2041 2.757e-05 0.1985 7.0076 6.3241 5.979e-18 0.40000 -0.2052 0.2052 0.2990
0.4 0.30303030303 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.119e-02 -6.6660 19.6233 -11.5458 7.1501 -0.2035 2.802e-05 0.2185 7.0383 6.4345 6.063e-18 0.40000 -0.2266 0.2266 0.3030
0.4 0.307070707071 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.230e-02 -6.6660 19.6531 -11.5458 7.2363 -0.2028 2.846e-05 0.2407 7.0680 6.5394 6.144e-18 0.40000 -0.2505 0.2505 0.3071
0.4 0.311111111111 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.353e-02 -6.6660 19.6820 -11.5458 7.3203 -0.2021 2.889e-05 0.2652 7.0969 6.6393 6.224e-18 0.40000 -0.2772 0.2772 0.3111
0.4 0.315151515152 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.490e-02 -6.6660 19.7100 -11.5458 7.4024 -0.2012 2.931e-05 0.2923 7.1250 6.7344 6.302e-18 0.40000 -0.3070 0.3070 0.3152
0.4 0.319191919192 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.643e-02 -6.6660 19.7374 -11.5458 7.4825 -0.2003 2.972e-05 0.3222 7.1523 6.8252 6.377e-18 0.40000 -0.3402 0.3402 0.3192
0.4 0.323232323232 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -1.814e-02 -6.6660 19.7640 -11.5458 7.5608 -0.1993 3.012e-05 0.3552 7.1789 6.9120 6.451e-18 0.40000 -0.3774 0.3774 0.3232
0.4 0.327272727273 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.005e-02 -6.6660 19.7899 -11.5458 7.6374 -0.1982 3.051e-05 0.3916 7.2049 6.9952 6.523e-18 0.40000 -0.4189 0.4189 0.3273
0.4 0.331313131313 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.219e-02 -6.6660 19.8152 -11.5458 7.7124 -0.1971 3.089e-05 0.4317 7.2302 7.0751 6.594e-18 0.40000 -0.4653 0.4653 0.3313
0.4 0.335353535354 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.458e-02 -6.6660 19.8400 -11.5458 7.7859 -0.1959 3.126e-05 0.4758 7.2549 7.1520 6.664e-18 0.40000 -0.5174 0.5174 0.3354
0.4 0.339393939394 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -2.725e-02 -6.6660 19.8641 -11.5458 7.8579 -0.1946 3.162e-05 0.5242 7.2791 7.2262 6.732e-18 0.40000 -0.5757 0.5757 0.3394
0.4 0.343434343434 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.025e-02 -6.6660 19.8877 -11.5458 7.9285 -0.1932 3.197e-05 0.5773 7.3027 7.2979 6.800e-18 0.40000 -0.6412 0.6412 0.3434
0.4 0.347474747475 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.361e-02 -6.6660 19.9108 -11.5458 7.9978 -0.1919 3.231e-05 0.6355 7.3258 7.3674 6.867e-18 0.40000 -0.7148 0.7148 0.3475
0.4 0.351515151515 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -3.739e-02 -6.6660 19.9334 -11.5458 8.0659 -0.1904 3.263e-05 0.6990 7.3484 7.4349 6.933e-18 0.40000 -0.7977 0.7977 0.3515
0.4 0.355555555556 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -4.164e-02 -6.6660 19.9556 -11.5458 8.1327 -0.1889 3.294e-05 0.7683 7.3705 7.5006 7.000e-18 0.40000 -0.8913 0.8913 0.3556
0.4 0.359595959596 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -4.643e-02 -6.6660 19.9773 -11.5458 8.1984 -0.1874 3.323e-05 0.8437 7.3922 7.5646 7.068e-18 0.40000 -0.9971 0.9971 0.3596
0.4 0.363636363636 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -5.183e-02 -6.6660 19.9985 -11.5458 8.2629 -0.1858 3.349e-05 0.9255 7.4135 7.6273 7.138e-18 0.40000 -1.1170 1.1170 0.3636
0.4 0.367676767677 0 0 3e-08 -3249270000.0 2.41166e+13 1e-08 4.3 -5.791e-02 -6.6660 20.0194 -11.5458 8.3264 -0.1842 3.372e-05 1.0142 7.4344 7.6886 7.211e-18 0.40000 -1.2530 1.2530 0.3677
